Vendor Number,Category Name,Date,Sale (Dollars)
260,IMPORTED DRY GINS,10/19/2023,16927.96
654,FLAVORED GIN,02/28/2023,1102.50
421,TRIPLE SEC,06/23/2023,192.00
421,SPICED RUM,04/25/2023,381.18
395,IMPORTED FLAVORED VODKA,03/02/2023,10667.16
035,IRISH WHISKIES,08/10/2023,27.99
260,AMERICAN DRY GINS,06/16/2023,1521.48
421,TRIPLE SEC,01/03/2023,338.88
395,MIXTO TEQUILA,02/13/2023,41748.45
434,CANADIAN WHISKIES,08/18/2023,882.91
380,TEMPORARY & SPECIALTY PACKAGES,04/04/2023,312.80
125,SINGLE MALT SCOTCH,06/27/2023,15147.42
115,AMERICAN VODKAS,08/08/2023,6911.10
370,TEMPORARY & SPECIALTY PACKAGES,08/11/2023,22.49
300,IMPORTED DRY GINS,07/21/2023,262.50
259,CANADIAN WHISKIES,08/28/2023,21011.78
370,MEZCAL,09/20/2023,96.66
306,TEMPORARY & SPECIALTY PACKAGES,08/14/2023,28.50
255,100% AGAVE TEQUILA,08/29/2023,1309.86
035,IMPORTED CORDIALS & LIQUEURS,04/07/2023,5252.51
370,SINGLE MALT SCOTCH,07/03/2023,4712.87
300,BOTTLED IN BOND BOURBON,09/27/2023,45.00
736,100% AGAVE TEQUILA,05/17/2023,142.04
421,CANADIAN WHISKIES,03/23/2023,32799.33
259,AMERICAN VODKAS,05/08/2023,1707.75
065,FLAVORED RUM,03/14/2023,1019.25
293,IMPORTED DISTILLED SPIRITS SPECIALTY,02/03/2023,87.40
566,AMERICAN VODKAS,06/15/2023,1059.84
205,CREAM LIQUEURS,10/09/2023,8145.30
557,IMPORTED CORDIALS & LIQUEURS,02/13/2023,109.56
306,TEMPORARY & SPECIALTY PACKAGES,02/21/2023,57.48
772,SCOTCH WHISKIES,09/20/2023,234.00
259,AMERICAN CORDIALS & LIQUEURS,02/10/2023,1779.00
260,WHITE RUM,07/17/2023,631.89
772,IMPORTED CORDIALS & LIQUEURS,01/27/2023,693.00
035,TEMPORARY & SPECIALTY PACKAGES,01/25/2023,872.09
240,SINGLE MALT SCOTCH,03/23/2023,494.25
